case	consumer	surface	output_shape	status_bearing	digest_bearing	server_unreachable	verdict	mandated_by	baseline_provenance
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c02-meta-mode-000-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c02-meta-mode-000-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c02-meta-mode-000-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c03-malformed-line-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c03-malformed-line-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c03-malformed-line-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c03-malformed-line-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c03-malformed-line-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c05-recover-ref-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c05-recover-ref-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c05-recover-ref-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c05-recover-ref-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c05-recover-ref-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c06-escapes-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c06-escapes-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c06-escapes-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c06-escapes-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c06-escapes-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c06-escapes-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c06-escapes-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c06-escapes-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c06-escapes-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c07-dupkey-known-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c07-dupkey-known-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c07-dupkey-known-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c07-dupkey-known-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c07-dupkey-known-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c09-dupkey-unknown-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c11-routing-known-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c11-routing-known-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c11-routing-known-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c11-routing-known-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c11-routing-known-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c11-routing-known-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c11-routing-known-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c11-routing-known-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c11-routing-known-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c12-routing-omitted-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c12-routing-omitted-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c12-routing-omitted-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c12-routing-omitted-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
