case	consumer	surface	rc_base	rc_suc	stdout_cmp	stderr_cmp	clone_fp	clone_fp_recorded	why
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-all	ae list	0	0	differ	differ	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	human-differ
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-all-json	ae list	0	0	pass	differ	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	digest-scored
arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias	ae ls	0	0	differ	empty-ok	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	human-differ
arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	human-differ
arms/A1/c02-meta-mode-000-rw/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	helper-not-in-rust-cli
arms/A1/c02-meta-mode-000-rw/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	helper-not-in-rust-cli
arms/A1/c03-malformed-line-ro/consumers.tsv	list	ae list	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	human-differ
arms/A1/c03-malformed-line-ro/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	digest-scored
arms/A1/c03-malformed-line-ro/consumers.tsv	list-all	ae list	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	human-differ
arms/A1/c03-malformed-line-ro/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	digest-scored
arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	human-differ
arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	human-differ
arms/A1/c03-malformed-line-ro/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	helper-not-in-rust-cli
arms/A1/c03-malformed-line-ro/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	0be46cd1df0d89453f7ac919c28afc96373c24d4a67ad8aaf41461ecfc20aaa4	helper-not-in-rust-cli
arms/A1/c03-malformed-line-rw/consumers.tsv	list	ae list	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	human-differ
arms/A1/c03-malformed-line-rw/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	digest-scored
arms/A1/c03-malformed-line-rw/consumers.tsv	list-all	ae list	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	human-differ
arms/A1/c03-malformed-line-rw/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	digest-scored
arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	human-differ
arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	39e769bdbbbaf578250c9f7c32a3adf3e81dc69fe270218d77ba016210dfe8a6	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	human-differ
arms/A1/c03-malformed-line-rw/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	helper-not-in-rust-cli
arms/A1/c03-malformed-line-rw/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	d10d3366168f38c4cbd6004ccef66ccecd3f7b244c84757f1fa8b7c5436b48fc	helper-not-in-rust-cli
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list	ae list	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	human-differ
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	digest-scored
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-all	ae list	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	human-differ
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	digest-scored
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	human-differ
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	human-differ
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	helper-not-in-rust-cli
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	helper-not-in-rust-cli
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list	ae list	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	human-differ
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	digest-scored
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-all	ae list	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	human-differ
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	digest-scored
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	human-differ
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	cf4efc076d06f6d099d5b79e079176ac80b03439c117b815ac9c1f77c6448411	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	human-differ
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	helper-not-in-rust-cli
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	helper-not-in-rust-cli
arms/A1/c05-recover-ref-ro/consumers.tsv	list	ae list	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	human-differ
arms/A1/c05-recover-ref-ro/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	digest-scored
arms/A1/c05-recover-ref-ro/consumers.tsv	list-all	ae list	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	human-differ
arms/A1/c05-recover-ref-ro/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	digest-scored
arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	human-differ
arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	human-differ
arms/A1/c05-recover-ref-ro/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	helper-not-in-rust-cli
arms/A1/c05-recover-ref-ro/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	helper-not-in-rust-cli
arms/A1/c05-recover-ref-rw/consumers.tsv	list	ae list	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	human-differ
arms/A1/c05-recover-ref-rw/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	digest-scored
arms/A1/c05-recover-ref-rw/consumers.tsv	list-all	ae list	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	human-differ
arms/A1/c05-recover-ref-rw/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	digest-scored
arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	human-differ
arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	974aabb31ca0f95763429752c1c23eb65906ecb36a1a8564197cceddfba591e0	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	human-differ
arms/A1/c05-recover-ref-rw/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	helper-not-in-rust-cli
arms/A1/c05-recover-ref-rw/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	helper-not-in-rust-cli
arms/A1/c06-escapes-ro/consumers.tsv	list	ae list	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	human-differ
arms/A1/c06-escapes-ro/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	digest-scored
arms/A1/c06-escapes-ro/consumers.tsv	list-all	ae list	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	human-differ
arms/A1/c06-escapes-ro/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	digest-scored
arms/A1/c06-escapes-ro/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	human-differ
arms/A1/c06-escapes-ro/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	human-differ
arms/A1/c06-escapes-ro/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	helper-not-in-rust-cli
arms/A1/c06-escapes-ro/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	b72f31d61edfe9bcec5aad8dfe1e53c69122edc2cd63c74332366d9d75ca534d	helper-not-in-rust-cli
arms/A1/c06-escapes-rw/consumers.tsv	list	ae list	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	human-differ
arms/A1/c06-escapes-rw/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	digest-scored
arms/A1/c06-escapes-rw/consumers.tsv	list-all	ae list	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	human-differ
arms/A1/c06-escapes-rw/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	digest-scored
arms/A1/c06-escapes-rw/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	human-differ
arms/A1/c06-escapes-rw/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	ab54ba0d4978a2857853c607ea01247d829d2ab56cd655a5ddea672b8332bfb9	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	human-differ
arms/A1/c06-escapes-rw/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	helper-not-in-rust-cli
arms/A1/c06-escapes-rw/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	9d5b086599c350ac99003dbe4baa0b326af0874c421a54e28c58ab8f042f77b0	helper-not-in-rust-cli
arms/A1/c07-dupkey-known-ro/consumers.tsv	list	ae list	0	0	differ	differ	a3cc3bbeb83ebe09473dd3d8f93c32fbf8e3ca24f4ea486206f9dc52c42c7599	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	human-differ
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	a3cc3bbeb83ebe09473dd3d8f93c32fbf8e3ca24f4ea486206f9dc52c42c7599	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	digest-scored
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-all	ae list	0	0	differ	differ	a3cc3bbeb83ebe09473dd3d8f93c32fbf8e3ca24f4ea486206f9dc52c42c7599	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	human-differ
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	a3cc3bbeb83ebe09473dd3d8f93c32fbf8e3ca24f4ea486206f9dc52c42c7599	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	digest-scored
arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	a3cc3bbeb83ebe09473dd3d8f93c32fbf8e3ca24f4ea486206f9dc52c42c7599	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	human-differ
arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	a3cc3bbeb83ebe09473dd3d8f93c32fbf8e3ca24f4ea486206f9dc52c42c7599	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	human-differ
arms/A1/c07-dupkey-known-ro/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	helper-not-in-rust-cli
arms/A1/c07-dupkey-known-ro/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	helper-not-in-rust-cli
